id_centro,id_area_OLD,id_cluster_NEW
102381,10324,12
102386,10382,12
102389,10422,12
102390,10541,12
102392,10478,12
102393,10396,12
102397,10218,12
102411,10506,12
102412,10331,12
102413,10219,12
102415,10304,12
102416,10304,12
102419,10345,13
102420,10304,14
102421,10354,14
102431,10219,15
102434,10542,15
102449,10221,15
102451,10221,15
102531,10354,15
102466,10326,15
102467,10428,15
102468,10219,15
102469,10310,15
102494,10219,15
102496,10432,15
102589,10532,16
102509,10396,17
102511,10222,17
102515,10431,17
102517,10374,17
102528,10532,17
102535,10547,17
102536,10218,17
102540,10354,17
102542,10536,18
102546,10219,18
102548,10469,18
102550,10227,18
102552,10495,18
102556,10545,18
102557,10314,18
102561,10440,19
102564,10324,19
102565,10453,19
102567,10326,19
102568,10338,19
102585,10348,19
103606,10219,19
102588,10541,19
102590,10326,19
102596,10338,19
102598,10327,19
102599,10354,20
102600,10314,20
102602,10338,20
102611,10219,20
102615,10221,20
102617,10207,20
102627,10368,20
102650,10354,20
102652,10344,20
102653,10432,20
102660,10344,20
102664,10314,20
102666,10484,20
102676,10316,20
102685,10453,20
102686,10354,20
102687,10327,20
102688,10327,20
102692,10475,20
102693,10222,21
102697,10395,22
102698,10219,22
102700,10327,22
102701,10327,22
102702,10327,22
102703,10453,22
102704,10327,22
102706,10224,22
102707,10458,22
102708,10219,22
102710,10228,22
102711,10219,23
102713,10441,24
102717,10219,24
102718,10354,24
102719,10354,24
102720,10357,24
102724,10219,24
102725,10219,24
102726,10359,25
102729,10219,26
102730,10536,27
102731,10536,27
102733,10327,27
102734,10354,27
102736,10326,27
102737,10219,27
102738,10541,27
102739,10508,27
102740,10338,27
102748,10222,28
102749,10222,28
102751,10382,28
102752,10228,28
102761,10314,28
102762,10219,28
102766,10228,28
102767,10525,28
102770,10324,28
102773,10221,28
102780,10345,28
102782,10327,28
102786,10525,28
102788,10314,28
102791,10377,28
102796,10314,29
102799,10532,29
102802,10377,29
102803,10327,30
102804,10354,30
102805,10344,30
102806,10228,30
102807,10348,30
102808,10314,30
102809,10521,31
102814,10359,31
102817,10219,31
102819,10327,31
102822,10222,31
102824,10541,32
102825,10354,32
102826,10327,32
102828,10354,33
102830,10327,33
102834,10354,33
102835,10354,33
102836,10508,33
102838,10218,34
102844,10354,34
102851,10310,35
102853,10434,35
102854,10532,35
102855,10354,36
102857,10532,36
102859,10327,36
102863,10519,36
102864,10219,36
102865,10327,37
102866,10453,37
102867,10222,37
102875,10432,37
102877,10521,37
102879,10532,37
102888,10424,37
102889,10354,37
102890,10432,37
102898,10541,37
102901,10432,38
102908,10508,38
102909,10508,38
102910,10441,38
102915,10389,38
102918,10324,38
102919,10327,38
